exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
5821116997816113592,2025-08-28 17:46:20+0000,2025-08-28 18:40:07+0000,-07:00,2025-08-28 17:53:28+0000,2025-08-28 18:40:17+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,220,480,193343,0,108,152,0,7552,403,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
5900986171244832024,2025-11-06 04:53:45+0000,2025-11-06 04:59:44+0000,-08:00,2025-11-06 05:03:16+0000,2025-11-06 05:03:16+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5907764306498135592,2025-08-28 01:17:38+0000,2025-08-28 01:22:45+0000,-07:00,2025-08-28 01:38:57+0000,2025-08-28 01:38:57+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
591580876650106224,2025-10-02 16:18:47+0000,2025-10-02 16:25:37+0000,-07:00,2025-10-02 16:34:58+0000,2025-10-02 16:34:58+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5916165714335424,2025-10-02 02:52:22+0000,2025-10-02 02:57:29+0000,-07:00,2025-10-02 03:13:56+0000,2025-10-02 03:13:56+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5955969035775848056,2025-08-23 00:31:57+0000,2025-08-23 00:40:28+0000,-07:00,2025-08-23 00:49:26+0000,2025-08-23 00:49:26+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5975595299750274664,2025-10-31 18:55:55+0000,2025-10-31 19:01:02+0000,-07:00,2025-10-31 19:16:13+0000,2025-10-31 19:16:13+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
598409468160226728,2025-08-25 03:50:48+0000,2025-08-25 03:55:55+0000,-07:00,2025-08-25 03:58:02+0000,2025-08-25 03:58:02+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6011269818915432320,2025-11-10 18:48:32+0000,2025-11-10 18:55:22+0000,-08:00,2025-11-10 19:02:01+0000,2025-11-10 19:02:01+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6026490998176558968,2025-10-03 01:14:40+0000,2025-10-03 01:19:47+0000,-07:00,2025-10-03 01:32:22+0000,2025-10-03 01:32:22+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
