timestamp,oxygen saturation percentage,data source
2025-08-14T09:37:34Z,96.4,Charge 6
2025-08-14T09:38:34Z,96.4,Charge 6
2025-08-14T09:39:34Z,96.4,Charge 6
2025-08-14T09:40:34Z,96.4,Charge 6
2025-08-14T09:41:34Z,96.4,Charge 6
2025-08-14T09:42:34Z,96.4,Charge 6
2025-08-14T09:43:34Z,96.4,Charge 6
2025-08-14T09:44:34Z,96.3,Charge 6
2025-08-14T09:46:34Z,96.4,Charge 6
2025-08-14T09:48:34Z,96.4,Charge 6
2025-08-14T09:50:34Z,96.4,Charge 6
2025-08-14T09:51:34Z,96.5,Charge 6
2025-08-14T09:52:34Z,96.6,Charge 6
2025-08-14T09:53:34Z,96.6,Charge 6
2025-08-14T09:54:34Z,96.5,Charge 6
2025-08-14T09:55:34Z,96.5,Charge 6
2025-08-14T09:56:34Z,96.5,Charge 6
2025-08-14T09:57:34Z,96.5,Charge 6
2025-08-14T09:59:34Z,96.5,Charge 6
2025-08-14T10:00:34Z,96.7,Charge 6
2025-08-14T10:01:34Z,96.9,Charge 6
2025-08-14T10:02:34Z,96.9,Charge 6
2025-08-14T10:03:34Z,97.1,Charge 6
2025-08-14T10:05:34Z,97.0,Charge 6
2025-08-14T10:06:34Z,96.8,Charge 6
2025-08-14T10:08:34Z,96.7,Charge 6
2025-08-14T10:09:34Z,96.6,Charge 6
2025-08-14T10:10:34Z,96.7,Charge 6
2025-08-14T10:11:34Z,97.2,Charge 6
2025-08-14T10:12:34Z,97.4,Charge 6
2025-08-14T10:13:34Z,97.7,Charge 6
2025-08-14T10:14:34Z,97.8,Charge 6
2025-08-14T10:16:34Z,97.2,Charge 6
2025-08-14T10:17:34Z,96.8,Charge 6
2025-08-14T10:18:34Z,96.6,Charge 6
2025-08-14T10:19:34Z,96.5,Charge 6
2025-08-14T10:20:34Z,96.5,Charge 6
2025-08-14T10:21:34Z,97.0,Charge 6
2025-08-14T10:22:34Z,97.1,Charge 6
2025-08-14T10:23:34Z,97.0,Charge 6
2025-08-14T10:24:34Z,96.8,Charge 6
2025-08-14T10:25:34Z,96.7,Charge 6
2025-08-14T10:27:34Z,95.5,Charge 6
2025-08-14T10:31:34Z,96.9,Charge 6
2025-08-14T10:32:34Z,97.5,Charge 6
2025-08-14T10:33:34Z,97.9,Charge 6
2025-08-14T10:34:34Z,98.3,Charge 6
2025-08-14T10:37:34Z,98.2,Charge 6
2025-08-14T10:38:34Z,98.0,Charge 6
2025-08-14T10:39:34Z,97.8,Charge 6
2025-08-14T10:40:34Z,97.6,Charge 6
2025-08-14T10:41:34Z,97.5,Charge 6
2025-08-14T10:42:34Z,97.3,Charge 6
2025-08-14T10:43:34Z,97.4,Charge 6
2025-08-14T10:44:34Z,97.4,Charge 6
2025-08-14T10:45:34Z,97.4,Charge 6
2025-08-14T10:46:34Z,97.4,Charge 6
2025-08-14T10:47:34Z,97.3,Charge 6
2025-08-14T10:48:34Z,97.3,Charge 6
2025-08-14T10:49:34Z,97.3,Charge 6
2025-08-14T10:50:34Z,97.3,Charge 6
2025-08-14T10:51:34Z,97.3,Charge 6
