timestamp,level,data source
2025-08-13T19:07:00Z,SEDENTARY,Fitbit App
2025-08-13T19:08:00Z,SEDENTARY,Fitbit App
2025-08-13T19:09:00Z,SEDENTARY,Fitbit App
2025-08-13T19:10:00Z,SEDENTARY,Fitbit App
2025-08-13T19:11:00Z,SEDENTARY,Fitbit App
2025-08-13T19:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:13:00Z,SEDENTARY,Fitbit App
2025-08-13T19:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:15:00Z,SEDENTARY,Fitbit App
2025-08-13T19:16:00Z,SEDENTARY,Fitbit App
2025-08-13T19:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:22:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T19:23:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T19:24:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T19:25:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T19:26:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T19:27:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T19:28:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T19:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:30:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T19:31:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T19:32:00Z,SEDENTARY,Fitbit App
2025-08-13T19:33:00Z,SEDENTARY,Fitbit App
2025-08-13T19:34:00Z,SEDENTARY,Fitbit App
2025-08-13T19:35:00Z,SEDENTARY,Fitbit App
2025-08-13T19:36:00Z,SEDENTARY,Fitbit App
2025-08-13T19:37:00Z,SEDENTARY,Fitbit App
2025-08-13T19:38:00Z,SEDENTARY,Fitbit App
2025-08-13T19:39:00Z,SEDENTARY,Fitbit App
2025-08-13T19:40:00Z,SEDENTARY,Fitbit App
2025-08-13T19:41:00Z,SEDENTARY,Fitbit App
2025-08-13T19:42:00Z,SEDENTARY,Fitbit App
2025-08-13T19:43:00Z,SEDENTARY,Fitbit App
2025-08-13T19:44:00Z,SEDENTARY,Fitbit App
2025-08-13T19:45:00Z,SEDENTARY,Fitbit App
2025-08-13T19:46:00Z,SEDENTARY,Fitbit App
2025-08-13T19:47:00Z,SEDENTARY,Fitbit App
2025-08-13T19:48:00Z,SEDENTARY,Fitbit App
2025-08-13T19:49:00Z,SEDENTARY,Fitbit App
2025-08-13T19:50:00Z,SEDENTARY,Fitbit App
2025-08-13T19:51:00Z,SEDENTARY,Fitbit App
2025-08-13T19:52:00Z,SEDENTARY,Fitbit App
2025-08-13T19:53:00Z,SEDENTARY,Fitbit App
2025-08-13T19:54:00Z,SEDENTARY,Fitbit App
2025-08-13T19:55:00Z,SEDENTARY,Fitbit App
2025-08-13T19:56:00Z,SEDENTARY,Fitbit App
2025-08-13T19:57:00Z,SEDENTARY,Fitbit App
2025-08-13T19:58:00Z,SEDENTARY,Fitbit App
2025-08-13T20:00:00Z,SEDENTARY,Fitbit App
2025-08-13T20:01:00Z,SEDENTARY,Fitbit App
2025-08-13T20:02:00Z,SEDENTARY,Fitbit App
2025-08-13T20:03:00Z,SEDENTARY,Fitbit App
2025-08-13T20:04:00Z,SEDENTARY,Fitbit App
2025-08-13T20:05:00Z,SEDENTARY,Fitbit App
2025-08-13T20:06:00Z,SEDENTARY,Fitbit App
2025-08-13T20:07:00Z,SEDENTARY,Fitbit App
2025-08-13T20:12:00Z,SEDENTARY,Fitbit App
2025-08-13T20:13:00Z,SEDENTARY,Fitbit App
2025-08-13T20:14:00Z,SEDENTARY,Fitbit App
2025-08-13T20:15:00Z,SEDENTARY,Fitbit App
2025-08-13T20:16:00Z,SEDENTARY,Fitbit App
2025-08-13T20:18:00Z,SEDENTARY,Fitbit App
2025-08-13T20:19:00Z,SEDENTARY,Fitbit App
2025-08-13T20:20:00Z,SEDENTARY,Fitbit App
2025-08-13T20:21:00Z,SEDENTARY,Fitbit App
2025-08-13T20:22:00Z,SEDENTARY,Fitbit App
2025-08-13T20:23:00Z,SEDENTARY,Fitbit App
2025-08-13T20:25:00Z,SEDENTARY,Fitbit App
2025-08-13T20:26:00Z,SEDENTARY,Fitbit App
2025-08-13T20:27:00Z,SEDENTARY,Fitbit App
2025-08-13T20:28:00Z,SEDENTARY,Fitbit App
2025-08-13T20:29:00Z,SEDENTARY,Fitbit App
2025-08-13T20:30:00Z,SEDENTARY,Fitbit App
2025-08-13T20:31:00Z,SEDENTARY,Fitbit App
2025-08-13T20:32:00Z,SEDENTARY,Fitbit App
2025-08-13T20:34:00Z,SEDENTARY,Fitbit App
2025-08-13T20:35:00Z,SEDENTARY,Fitbit App
2025-08-13T20:37:00Z,SEDENTARY,Fitbit App
2025-08-13T20:39:00Z,SEDENTARY,Fitbit App
2025-08-13T20:40:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T20:41:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T20:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T20:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T20:44:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T20:45:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T20:46:00Z,SEDENTARY,Fitbit App
2025-08-13T20:47:00Z,SEDENTARY,Fitbit App
2025-08-13T20:48:00Z,SEDENTARY,Fitbit App
2025-08-13T20:49:00Z,SEDENTARY,Fitbit App
2025-08-13T20:50:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T20:51:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T20:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T20:53:00Z,SEDENTARY,Fitbit App
2025-08-13T20:54:00Z,SEDENTARY,Fitbit App
2025-08-13T20:55:00Z,SEDENTARY,Fitbit App
2025-08-13T20:57:00Z,SEDENTARY,Fitbit App
2025-08-13T20:58:00Z,SEDENTARY,Fitbit App
2025-08-13T20:59:00Z,SEDENTARY,Fitbit App
2025-08-13T21:04:00Z,SEDENTARY,Fitbit App
2025-08-13T21:06:00Z,SEDENTARY,Fitbit App
2025-08-13T21:11:00Z,SEDENTARY,Fitbit App
2025-08-13T21:12:00Z,SEDENTARY,Fitbit App
2025-08-13T21:13:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T21:14:00Z,SEDENTARY,Fitbit App
2025-08-13T21:15:00Z,SEDENTARY,Fitbit App
2025-08-13T21:16:00Z,SEDENTARY,Fitbit App
2025-08-13T21:20:00Z,SEDENTARY,Fitbit App
2025-08-13T21:22:00Z,SEDENTARY,Fitbit App
2025-08-13T21:24:00Z,SEDENTARY,Fitbit App
2025-08-13T21:25:00Z,SEDENTARY,Fitbit App
2025-08-13T21:26:00Z,SEDENTARY,Fitbit App
2025-08-13T21:27:00Z,SEDENTARY,Fitbit App
2025-08-13T21:29:00Z,SEDENTARY,Fitbit App
2025-08-13T21:33:00Z,SEDENTARY,Fitbit App
2025-08-13T21:34:00Z,SEDENTARY,Fitbit App
2025-08-13T21:37:00Z,SEDENTARY,Fitbit App
2025-08-13T21:38:00Z,SEDENTARY,Fitbit App
2025-08-13T21:39:00Z,SEDENTARY,Fitbit App
2025-08-13T21:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T21:44:00Z,SEDENTARY,Fitbit App
2025-08-13T21:46:00Z,SEDENTARY,Fitbit App
2025-08-13T21:47:00Z,SEDENTARY,Fitbit App
2025-08-13T21:49:00Z,SEDENTARY,Fitbit App
2025-08-13T21:52:00Z,SEDENTARY,Fitbit App
2025-08-13T21:53:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T21:54:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T21:55:00Z,SEDENTARY,Fitbit App
2025-08-13T21:56:00Z,SEDENTARY,Fitbit App
2025-08-13T21:58:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T21:59:00Z,SEDENTARY,Fitbit App
2025-08-13T22:00:00Z,SEDENTARY,Fitbit App
2025-08-13T22:02:00Z,SEDENTARY,Fitbit App
2025-08-13T22:03:00Z,SEDENTARY,Fitbit App
2025-08-13T22:04:00Z,SEDENTARY,Fitbit App
2025-08-13T22:05:00Z,SEDENTARY,Fitbit App
2025-08-13T22:06:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T22:07:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T22:08:00Z,SEDENTARY,Fitbit App
2025-08-13T22:09:00Z,SEDENTARY,Fitbit App
2025-08-13T22:10:00Z,SEDENTARY,Fitbit App
2025-08-13T22:11:00Z,SEDENTARY,Fitbit App
2025-08-13T22:12:00Z,SEDENTARY,Fitbit App
2025-08-13T22:14:00Z,SEDENTARY,Fitbit App
2025-08-13T22:15:00Z,SEDENTARY,Fitbit App
2025-08-13T22:16:00Z,SEDENTARY,Fitbit App
2025-08-13T22:17:00Z,SEDENTARY,Fitbit App
2025-08-13T22:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T22:20:00Z,SEDENTARY,Fitbit App
2025-08-13T22:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T22:22:00Z,SEDENTARY,Fitbit App
2025-08-13T22:23:00Z,SEDENTARY,Fitbit App
2025-08-13T22:24:00Z,SEDENTARY,Fitbit App
2025-08-13T22:26:00Z,SEDENTARY,Fitbit App
2025-08-13T22:27:00Z,SEDENTARY,Fitbit App
2025-08-13T22:28:00Z,SEDENTARY,Fitbit App
2025-08-13T22:29:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T22:30:00Z,SEDENTARY,Fitbit App
2025-08-13T22:31:00Z,SEDENTARY,Fitbit App
2025-08-13T22:32:00Z,SEDENTARY,Fitbit App
2025-08-13T22:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T22:34:00Z,SEDENTARY,Fitbit App
2025-08-13T22:35:00Z,SEDENTARY,Fitbit App
2025-08-13T22:36:00Z,LIGHTLY_ACTIVE,Fitbit App
