timestamp,lap time,stroke count,stroke type,data source
2026-01-11T19:45:55Z,00:00:39.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T19:57:10Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T20:00:06Z,00:00:39.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T20:05:04Z,00:00:22.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T20:05:51Z,00:00:32.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T20:33:11Z,00:00:48.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T20:48:44Z,00:00:56.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T20:51:26Z,00:00:52.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T21:30:21Z,00:00:44.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T21:32:14Z,00:00:48.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T22:05:30Z,00:00:44.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T22:08:14Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T22:12:51Z,00:00:46.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T22:16:18Z,00:00:34.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T23:14:41Z,00:00:28.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T23:25:40Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:04:34Z,00:00:32.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:07:46Z,00:00:31.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:10:43Z,00:00:33.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:15:06Z,00:00:41.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:26:01Z,00:00:45.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:31:18Z,00:00:45.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:37:10Z,00:00:29.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-12T00:52:40Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
