timestamp,heart rate zone type,kcal,data source
2025-08-13T08:52:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:53:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:54:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:55:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:56:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:57:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:58:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:59:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:00:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:01:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:02:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:03:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:04:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:05:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:06:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:07:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:08:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:09:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:10:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:11:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:12:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:13:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:14:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:15:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:16:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:17:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:18:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:19:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:20:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:21:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:22:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:23:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:24:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:25:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:26:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T09:27:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:28:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:29:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:30:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:31:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:32:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:33:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:34:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:35:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:36:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:37:00Z,LIGHT,1.2396780000000003,Fitbit App
2025-08-13T09:38:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:39:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:40:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:41:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:42:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:43:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:44:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:45:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:46:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:47:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:48:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:49:00Z,LIGHT,1.12698,Fitbit App
2025-08-13T09:50:00Z,LIGHT,1.4650740000000002,Fitbit App
2025-08-13T09:51:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:52:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:53:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:54:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:55:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:56:00Z,LIGHT,1.239689,Fitbit App
2025-08-13T09:57:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:58:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T09:59:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:00:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:01:00Z,LIGHT,1.239689,Fitbit App
2025-08-13T10:02:00Z,LIGHT,1.239689,Fitbit App
2025-08-13T10:03:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:04:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:05:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:06:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:07:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:08:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:09:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:10:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:11:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:12:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:13:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:14:00Z,LIGHT,1.12699,Fitbit App
2025-08-13T10:15:00Z,LIGHT,1.127,Fitbit App
2025-08-13T10:16:00Z,LIGHT,1.127,Fitbit App
