timestamp,steps,data source
2025-11-01T18:19:00Z,63,Charge 6
2025-11-01T18:20:00Z,23,Charge 6
2025-11-01T18:21:00Z,8,Charge 6
2025-11-01T18:23:00Z,6,Charge 6
2025-11-01T18:24:00Z,24,Charge 6
2025-11-01T18:25:00Z,49,Charge 6
2025-11-01T18:26:00Z,89,Charge 6
2025-11-01T18:27:00Z,83,Charge 6
2025-11-01T18:28:00Z,85,Charge 6
2025-11-01T18:29:00Z,89,Charge 6
2025-11-01T18:30:00Z,105,Charge 6
2025-11-01T18:31:00Z,48,Charge 6
2025-11-01T18:32:00Z,57,Charge 6
2025-11-01T18:33:00Z,93,Charge 6
2025-11-01T18:34:00Z,70,Charge 6
2025-11-01T18:35:00Z,21,Charge 6
2025-11-01T18:37:00Z,36,Charge 6
2025-11-01T18:38:00Z,8,Charge 6
2025-11-01T18:56:00Z,28,Charge 6
2025-11-01T18:57:00Z,13,Charge 6
2025-11-01T19:02:00Z,22,Charge 6
2025-11-01T19:07:00Z,22,Charge 6
2025-11-01T19:22:00Z,4,Charge 6
2025-11-01T19:27:00Z,9,Charge 6
2025-11-01T19:31:00Z,19,Charge 6
2025-11-01T19:32:00Z,15,Charge 6
2025-11-01T19:33:00Z,83,Charge 6
2025-11-01T19:34:00Z,7,Charge 6
2025-11-01T19:35:00Z,5,Charge 6
2025-11-01T19:36:00Z,35,Charge 6
2025-11-01T19:37:00Z,54,Charge 6
2025-11-01T19:39:00Z,13,Charge 6
2025-11-01T19:40:00Z,43,Charge 6
2025-11-01T19:42:00Z,27,Charge 6
2025-11-01T19:43:00Z,57,Charge 6
2025-11-01T19:44:00Z,56,Charge 6
2025-11-01T19:45:00Z,51,Charge 6
2025-11-01T19:46:00Z,23,Charge 6
2025-11-01T19:47:00Z,7,Charge 6
2025-11-01T19:48:00Z,24,Charge 6
2025-11-01T19:49:00Z,19,Charge 6
2025-11-01T19:50:00Z,25,Charge 6
2025-11-01T19:51:00Z,45,Charge 6
2025-11-01T19:52:00Z,72,Charge 6
2025-11-01T19:53:00Z,39,Charge 6
2025-11-01T19:54:00Z,55,Charge 6
2025-11-01T19:55:00Z,5,Charge 6
2025-11-01T20:02:00Z,59,Charge 6
2025-11-01T20:03:00Z,34,Charge 6
2025-11-01T20:12:00Z,25,Charge 6
2025-11-01T20:13:00Z,55,Charge 6
2025-11-01T20:22:00Z,53,Charge 6
