timestamp,beats per minute,data source
2025-10-15T00:12:06Z,70.0,Charge 6
2025-10-15T00:12:09Z,70.0,Charge 6
2025-10-15T00:12:11Z,69.0,Charge 6
2025-10-15T00:12:13Z,68.0,Charge 6
2025-10-15T00:12:16Z,68.0,Charge 6
2025-10-15T00:12:17Z,66.0,Charge 6
2025-10-15T00:12:20Z,66.0,Charge 6
2025-10-15T00:12:21Z,66.0,Charge 6
2025-10-15T00:12:23Z,64.0,Charge 6
2025-10-15T00:12:26Z,64.0,Charge 6
2025-10-15T00:12:29Z,64.0,Charge 6
2025-10-15T00:12:32Z,64.0,Charge 6
2025-10-15T00:12:33Z,65.0,Charge 6
2025-10-15T00:12:36Z,67.0,Charge 6
2025-10-15T00:12:38Z,71.0,Charge 6
2025-10-15T00:12:40Z,73.0,Charge 6
2025-10-15T00:12:42Z,73.0,Charge 6
2025-10-15T00:12:44Z,73.0,Charge 6
2025-10-15T00:12:47Z,73.0,Charge 6
2025-10-15T00:12:50Z,72.0,Charge 6
2025-10-15T00:12:52Z,71.0,Charge 6
2025-10-15T00:12:54Z,71.0,Charge 6
2025-10-15T00:12:57Z,71.0,Charge 6
2025-10-15T00:12:58Z,70.0,Charge 6
2025-10-15T00:13:01Z,69.0,Charge 6
2025-10-15T00:13:03Z,68.0,Charge 6
2025-10-15T00:13:05Z,67.0,Charge 6
2025-10-15T00:13:07Z,66.0,Charge 6
2025-10-15T00:13:09Z,64.0,Charge 6
2025-10-15T00:13:12Z,64.0,Charge 6
2025-10-15T00:13:13Z,64.0,Charge 6
2025-10-15T00:13:16Z,64.0,Charge 6
2025-10-15T00:13:17Z,65.0,Charge 6
2025-10-15T00:13:19Z,66.0,Charge 6
2025-10-15T00:13:22Z,66.0,Charge 6
2025-10-15T00:13:24Z,66.0,Charge 6
2025-10-15T00:13:27Z,66.0,Charge 6
2025-10-15T00:13:30Z,66.0,Charge 6
2025-10-15T00:13:32Z,65.0,Charge 6
2025-10-15T00:13:34Z,65.0,Charge 6
2025-10-15T00:13:37Z,65.0,Charge 6
2025-10-15T00:13:40Z,66.0,Charge 6
2025-10-15T00:13:42Z,66.0,Charge 6
2025-10-15T00:13:45Z,66.0,Charge 6
2025-10-15T00:13:46Z,67.0,Charge 6
2025-10-15T00:13:47Z,68.0,Charge 6
2025-10-15T00:13:49Z,67.0,Charge 6
2025-10-15T00:13:51Z,66.0,Charge 6
2025-10-15T00:13:53Z,66.0,Charge 6
2025-10-15T00:13:55Z,64.0,Charge 6
2025-10-15T00:13:58Z,64.0,Charge 6
2025-10-15T00:14:01Z,64.0,Charge 6
2025-10-15T00:14:03Z,63.0,Charge 6
2025-10-15T00:14:05Z,64.0,Charge 6
2025-10-15T00:14:07Z,64.0,Charge 6
2025-10-15T00:14:09Z,65.0,Charge 6
2025-10-15T00:14:11Z,64.0,Charge 6
2025-10-15T00:14:14Z,64.0,Charge 6
2025-10-15T00:14:17Z,64.0,Charge 6
2025-10-15T00:14:20Z,65.0,Charge 6
2025-10-15T00:14:22Z,64.0,Charge 6
2025-10-15T00:14:25Z,64.0,Charge 6
2025-10-15T00:14:26Z,63.0,Charge 6
2025-10-15T00:14:29Z,63.0,Charge 6
2025-10-15T00:14:30Z,64.0,Charge 6
2025-10-15T00:14:32Z,64.0,Charge 6
2025-10-15T00:14:34Z,64.0,Charge 6
2025-10-15T00:14:35Z,65.0,Charge 6
2025-10-15T00:14:37Z,64.0,Charge 6
2025-10-15T00:14:39Z,64.0,Charge 6
2025-10-15T00:14:42Z,64.0,Charge 6
2025-10-15T00:14:43Z,63.0,Charge 6
2025-10-15T00:14:46Z,63.0,Charge 6
2025-10-15T00:14:47Z,62.0,Charge 6
2025-10-15T00:14:50Z,62.0,Charge 6
2025-10-15T00:14:51Z,61.0,Charge 6
2025-10-15T00:14:53Z,62.0,Charge 6
2025-10-15T00:14:55Z,64.0,Charge 6
2025-10-15T00:14:58Z,64.0,Charge 6
2025-10-15T00:15:00Z,63.0,Charge 6
2025-10-15T00:15:03Z,63.0,Charge 6
2025-10-15T00:15:04Z,68.0,Charge 6
2025-10-15T00:15:07Z,68.0,Charge 6
2025-10-15T00:15:08Z,66.0,Charge 6
2025-10-15T00:15:10Z,65.0,Charge 6
2025-10-15T00:15:12Z,63.0,Charge 6
2025-10-15T00:15:14Z,62.0,Charge 6
2025-10-15T00:15:16Z,63.0,Charge 6
2025-10-15T00:15:18Z,64.0,Charge 6
2025-10-15T00:15:20Z,66.0,Charge 6
2025-10-15T00:15:22Z,70.0,Charge 6
2025-10-15T00:15:23Z,75.0,Charge 6
2025-10-15T00:15:25Z,76.0,Charge 6
2025-10-15T00:15:28Z,76.0,Charge 6
2025-10-15T00:15:29Z,75.0,Charge 6
2025-10-15T00:15:31Z,72.0,Charge 6
2025-10-15T00:15:33Z,70.0,Charge 6
2025-10-15T00:15:36Z,70.0,Charge 6
2025-10-15T00:15:37Z,70.0,Charge 6
2025-10-15T00:15:39Z,70.0,Charge 6
2025-10-15T00:15:41Z,71.0,Charge 6
2025-10-15T00:15:43Z,70.0,Charge 6
2025-10-15T00:15:45Z,68.0,Charge 6
2025-10-15T00:15:48Z,67.0,Charge 6
2025-10-15T00:15:51Z,67.0,Charge 6
2025-10-15T00:15:54Z,68.0,Charge 6
2025-10-15T00:15:56Z,69.0,Charge 6
2025-10-15T00:15:58Z,68.0,Charge 6
2025-10-15T00:16:00Z,67.0,Charge 6
2025-10-15T00:16:02Z,66.0,Charge 6
2025-10-15T00:16:04Z,64.0,Charge 6
2025-10-15T00:16:07Z,64.0,Charge 6
2025-10-15T00:16:08Z,63.0,Charge 6
2025-10-15T00:16:11Z,63.0,Charge 6
2025-10-15T00:16:14Z,63.0,Charge 6
2025-10-15T00:16:15Z,64.0,Charge 6
2025-10-15T00:16:18Z,64.0,Charge 6
2025-10-15T00:16:21Z,65.0,Charge 6
2025-10-15T00:16:23Z,66.0,Charge 6
2025-10-15T00:16:25Z,66.0,Charge 6
2025-10-15T00:16:27Z,67.0,Charge 6
2025-10-15T00:16:29Z,68.0,Charge 6
2025-10-15T00:16:31Z,66.0,Charge 6
2025-10-15T00:16:33Z,67.0,Charge 6
2025-10-15T00:16:35Z,69.0,Charge 6
2025-10-15T00:16:36Z,71.0,Charge 6
2025-10-15T00:16:38Z,72.0,Charge 6
2025-10-15T00:16:41Z,72.0,Charge 6
2025-10-15T00:16:42Z,69.0,Charge 6
2025-10-15T00:16:44Z,68.0,Charge 6
2025-10-15T00:16:46Z,67.0,Charge 6
2025-10-15T00:16:48Z,66.0,Charge 6
2025-10-15T00:16:51Z,66.0,Charge 6
2025-10-15T00:16:52Z,65.0,Charge 6
2025-10-15T00:16:54Z,64.0,Charge 6
2025-10-15T00:16:56Z,63.0,Charge 6
2025-10-15T00:16:58Z,64.0,Charge 6
2025-10-15T00:16:59Z,66.0,Charge 6
2025-10-15T00:17:01Z,67.0,Charge 6
