timestamp,distance,data source
2025-08-15T02:45:00Z,58.80,Charge 6
2025-08-15T02:46:00Z,39.40,Charge 6
2025-08-15T02:47:00Z,91.20,Charge 6
2025-08-15T02:48:00Z,14.70,Charge 6
2025-08-15T02:49:00Z,19.80,Charge 6
2025-08-15T02:50:00Z,56.90,Charge 6
2025-08-15T02:51:00Z,50.40,Charge 6
2025-08-15T02:52:00Z,34.00,Charge 6
2025-08-15T02:53:00Z,20.20,Charge 6
2025-08-15T02:54:00Z,24.70,Charge 6
2025-08-15T02:55:00Z,101.40,Charge 6
2025-08-15T02:56:00Z,75.80,Charge 6
2025-08-15T02:57:00Z,90.90,Charge 6
2025-08-15T02:58:00Z,82.20,Charge 6
2025-08-15T02:59:00Z,74.00,Charge 6
2025-08-15T03:00:00Z,48.00,Charge 6
2025-08-15T03:01:00Z,19.00,Charge 6
2025-08-15T03:02:00Z,33.00,Charge 6
2025-08-15T03:03:00Z,31.30,Charge 6
2025-08-15T03:04:00Z,22.70,Charge 6
2025-08-15T03:05:00Z,20.80,Charge 6
2025-08-15T03:06:00Z,69.70,Charge 6
2025-08-15T03:07:00Z,89.50,Charge 6
2025-08-15T03:08:00Z,92.10,Charge 6
2025-08-15T03:09:00Z,117.60,Charge 6
2025-08-15T03:10:00Z,106.40,Charge 6
2025-08-15T03:11:00Z,83.20,Charge 6
2025-08-15T03:12:00Z,108.10,Charge 6
2025-08-15T03:13:00Z,46.90,Charge 6
2025-08-15T03:14:00Z,41.20,Charge 6
2025-08-15T03:15:00Z,71.20,Charge 6
2025-08-15T03:16:00Z,33.50,Charge 6
2025-08-15T03:17:00Z,32.10,Charge 6
2025-08-15T03:18:00Z,5.30,Charge 6
2025-08-15T03:19:00Z,21.10,Charge 6
2025-08-15T03:20:00Z,75.90,Charge 6
2025-08-15T03:21:00Z,121.50,Charge 6
2025-08-15T03:22:00Z,120.00,Charge 6
2025-08-15T03:23:00Z,83.40,Charge 6
2025-08-15T03:24:00Z,106.20,Charge 6
2025-08-15T03:25:00Z,98.00,Charge 6
2025-08-15T03:26:00Z,156.30,Charge 6
2025-08-15T03:27:00Z,95.90,Charge 6
2025-08-15T03:28:00Z,80.40,Charge 6
2025-08-15T03:29:00Z,85.20,Charge 6
2025-08-15T03:30:00Z,138.90,Charge 6
2025-08-15T03:31:00Z,110.50,Charge 6
2025-08-15T03:32:00Z,68.70,Charge 6
2025-08-15T03:33:00Z,77.10,Charge 6
2025-08-15T03:34:00Z,91.10,Charge 6
2025-08-15T03:35:00Z,1.90,Charge 6
2025-08-15T03:37:00Z,45.70,Charge 6
2025-08-15T03:38:00Z,55.50,Charge 6
2025-08-15T03:39:00Z,52.20,Charge 6
2025-08-15T03:40:00Z,60.80,Charge 6
2025-08-15T03:41:00Z,26.40,Charge 6
2025-08-15T03:43:00Z,49.40,Charge 6
2025-08-15T03:44:00Z,26.80,Charge 6
2025-08-15T03:46:00Z,26.10,Charge 6
2025-08-15T03:47:00Z,6.50,Charge 6
2025-08-15T03:48:00Z,10.10,Charge 6
2025-08-15T03:51:00Z,2.90,Charge 6
2025-08-15T03:52:00Z,18.80,Charge 6
2025-08-15T03:53:00Z,69.70,Charge 6
2025-08-15T03:54:00Z,58.80,Charge 6
2025-08-15T03:55:00Z,64.80,Charge 6
2025-08-15T03:56:00Z,28.80,Charge 6
